Comment,Designator,Footprint,JLCPCB Part #
1-2834011-4,"J1,J2",THT P3.50mm 1x04,C589905
"KTY81/210,112",RTH1,TO-92 inline,C481813
1812L050/30PR,F1,1812,C151168
SS16,D1,SMA,C5262487
SMBJ33A,TVS1,SMB,C173526
LMR36510ADDAR,U1,SOP-8-EP,C1858393
SRP1038A-330M,L1,11x10 mm SMD,C2041318
0603WAF1003T5E,"R1,R3",0603,C25803
0603WAF2492T5E,R2,0603,C25881
4.7uF/100V,C1,1210,C9900085220
C0805C224J1RECAUTO7210,C2,0805,C2222187
CL21B105KBFNNNE,C3,0805,C28323
GRM188R71H104KA93D,"C4,C10,C11,C12,C13",0603,C77055
CL31A476MPHNNNE,"C5,C6",1206,C96123
SS14,"D2,D3",SMA,C2837270
AP2112K-3.3TRG1,U2,SOT-23-5,C23380830
GRM21BR71A106KE51L,"C7,C16,C18",0805,C86038
C2012X7S0J226MT000E,C8,0805,C342680
ESP32-C6-WROOM-1-N16,U3,LCC-LGA 18x25.5 mm,C5445014
TYPE-C-31-M-12,J3,SMD/THT shield,C165948
USBLC6-2SC6,ESD1,SOT-23-6,C2827654
0603WAF5101T5E,"R4,R5",0603,C23186
0603WAF1002T5E,R6,0603,C25804
CL10A105KB8NNNC,C9,0603,C15849
B3U-1000P,"SW1,SW2",SMD,C271754
SHT45-AD1B-R2,U4,DFN-4 1.5x1.5 mm,C5221601
RC0603FR-074K7L,"R7,R8",0603,C99782
MCP4725A0T-E/CH,U5,SOT-23-6,C144198
OPA197IDBVR,U6,SOT-23-5,C221351
RN73R1JTTD2102B25,R9,0603,C4064934
RT0603BRD0710KL,R10,0603,C95204
RC0603FR-07220RL,R11,0603,C107696
ADM2587EBRWZ,U7,SOIC-20W,C5119494
BLM21PG601SN1D,FB1,0805,C41556732
CL21B104KBCNNNC,"C14,C17",0805,C49678
0805B103K500NT,C15,0805,C1710
RC1206FR-07120RL,R12,1206,C17953
SM08B-SRSS-TB(LF)(SN),J4,SMD right angle,C160407
19-217/GHC-YR1S2/3T,LED1,0603,C72043
RC0603FR-071KL,R13,0603,C21190
