Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Footprint,LCSC Part Number,Assembly
"J1,J2",2,MAX,MX205R-5.0-04P-GN01-Cu-A,4-way push-in spring terminal,THT P5.00mm 1x04,C7471336,JLCPCB Standard PCBA
RTH1,1,NXP,"KTY81/210,112",2 kohm silicon temperature sensor,TO-92 inline,C481813,JLCPCB Standard PCBA
F1,1,Littelfuse,1812L050/30PR,500 mA hold 30 V resettable fuse,1812,C151168,JLCPCB Standard PCBA
D1,1,Zhengxin,SS16,1 A 60 V Schottky,SMA,C5262487,JLCPCB Standard PCBA
TVS1,1,MDD,SMBJ33A,33 V 600 W unidirectional TVS,SMB,C173526,JLCPCB Standard PCBA
U1,1,Texas Instruments,LMR36510ADDAR,65 V 1 A synchronous buck,SOP-8-EP,C1858393,JLCPCB Standard PCBA
L1,1,Bourns,SRP1038A-330M,33 uH 3.5 A shielded inductor,11x10 mm SMD,C2041318,JLCPCB Standard PCBA
"R1,R3",2,UNI-ROYAL,0603WAF1003T5E,100 kohm 1%,0603,C25803,JLCPCB Standard PCBA
R2,1,UNI-ROYAL,0603WAF2492T5E,24.9 kohm 1%,0603,C25962,JLCPCB Standard PCBA
C1,1,JLCPCB Assembly,4.7uF/100V,4.7 uF 100 V MLCC,1210,C9900085220,JLCPCB Standard PCBA
C2,1,CCTC,TCC0805X7R224K101FT,220 nF 100 V X7R 10%,0805,C2994652,JLCPCB Standard PCBA
C3,1,Samsung Electro-Mechanics,CL21B105KBFNNNE,1 uF 50 V X7R,0805,C28323,JLCPCB Standard PCBA
"C4,C10,C11,C12,C13",5,Murata,GRM188R71H104KA93D,100 nF 50 V X7R,0603,C77055,JLCPCB Standard PCBA
"C5,C6",2,Samsung Electro-Mechanics,CL31A476MPHNNNE,47 uF 10 V X5R,1206,C96123,JLCPCB Standard PCBA
"D2,D3",2,JSMSEMI,SS14,1 A 40 V Schottky power OR diode,SMA,C2837270,JLCPCB Standard PCBA
U2,1,TECH PUBLIC,AP2112K-3.3TRG1,3.3 V 600 mA LDO,SOT-23-5,C23380830,JLCPCB Standard PCBA
"C7,C16,C18",3,Murata,GRM21BR71A106KE51L,10 uF 10 V X7R,0805,C86038,JLCPCB Standard PCBA
C8,1,TDK,C2012X5R1A226MT0J0E,22 uF 10 V X5R,0805,C361180,JLCPCB Standard PCBA
U3,1,Espressif Systems,ESP32-C6-WROOM-1-N16,Wi-Fi 6/BLE/Thread module 16 MB flash,LCC-LGA 18x25.5 mm,C5445014,JLCPCB Standard PCBA
J3,1,Korean Hroparts,TYPE-C-31-M-12,USB-C USB2 receptacle,SMD/THT shield,C165948,JLCPCB Standard PCBA
ESD1,1,TECH PUBLIC,USBLC6-2SC6,USB dual-line ESD protection,SOT-23-6,C2827654,JLCPCB Standard PCBA
"R4,R5",2,UNI-ROYAL,0603WAF5101T5E,5.1 kohm 1% USB-C CC,0603,C23186,JLCPCB Standard PCBA
R6,1,UNI-ROYAL,0603WAF1002T5E,10 kohm 1%,0603,C25804,JLCPCB Standard PCBA
C9,1,Samsung Electro-Mechanics,CL10A105KB8NNNC,1 uF 50 V X5R,0603,C15849,JLCPCB Standard PCBA
