Comment,Designator,Footprint,JLCPCB Part #
MX205R-5.0-04P-GN01-Cu-A,"J1,J2",THT P5.00mm 1x04,C7471336
"KTY81/210,112",RTH1,TO-92 inline,C481813
BSMD1812-050-60V,F1,1812,C883142
SS16,D1,SMA,C5262487
SMBJ33A,TVS1,SMB,C173526
LMR36510ADDAR,U1,SOP-8-EP,C1858393
SRP1038A-330M,L1,11x10 mm SMD,C2041318
0603WAF1003T5E,"R1,R3",0603,C25803
0603WAF2492T5E,R2,0603,C25962
C3225X7S2A475KT003S,C1,1210,C694475
C0805C224K1RACTU,C2,0805,C2167405
CL21B105KBFNNNE,C3,0805,C28323
GRM188R71H104KA93D,"C4,C10,C11,C12,C13",0603,C77055
CL31A476MPHNNNE,"C5,C6",1206,C96123
SS14,"D2,D3",SMA,C2837270
AP2112K-3.3TRG1,U2,SOT-23-5,C23380830
GRM21BR71A106KE51L,"C7,C16,C18",0805,C86038
C2012X5R1A226MT0J0E,C8,0805,C361180
ESP32-C6-WROOM-1-N8,U3,LCC-LGA 18x25.5 mm,C5366877
TYPE-C-31-M-12,J3,SMD/THT shield,C165948
USBLC6-2SC6,ESD1,SOT-23-6,C2827654
0603WAF5101T5E,"R4,R5",0603,C23186
0603WAF1002T5E,R6,0603,C25804
CL10A105KB8NNNC,C9,0603,C15849
B3U-1000P,"SW1,SW2",SMD,C231329
SHT45-AD1B-R2,U4,DFN-4 1.5x1.5 mm,C5221601
RC0603FR-074K7L,"R7,R8",0603,C99782
MCP4725A0T-E/CH,U5,SOT-23-6,C144198
OPA197IDBVR,U6,SOT-23-5,C221351
RMS06FT2102,R9,0603,C209071
RT0603BRD0710KL,R10,0603,C95204
RC0603FR-07220RL,R11,0603,C107696
CA-IS3092W,U7,SOIC-16W,C2890051
0805B104K500CT,"C14,C17",0805,C83055
RC1206FR-07120RL,R12,1206,C114928
SM08B-SRSS-TB(LF)(SN),J4,SMD right angle,C160407
MHT192CGCT,LED1,0603,C389518
SOP01,SW3,SMD DIP SPST,C3294660
MX126-5.0-03P-GN01-Cu-S-A,"J5,J6,J7",THT P5.00mm 1x03,C5188435
MX205R-5.0-02P-GN01-Cu-A,J8,THT P5.00mm 1x02,C7471334
0603WAF1000T5E,R14,0603,C22775
RC0603FR-074K7L,R15,0603,C99782
PCESD3V3D3,"TVS2,TVS3,TVS4",SOD-323,C2928727
0603WAF1002T5E,"R18,R19,R21,R23",0603,C25804
GRM188R71H104KA93D,"C19,C20,C21",0603,C77055
PESD12VL1BA,TVS5,SOD-323,C2687119
0603WAF3302T5E,R20,0603,C4216
BAT54S,D4,SOT-23,C2848194
B3U-1000P,SW4,SMD,C231329
0603WAF1802T5E,R24,0603,C25810
MHT192CGCT,"LED2,LED3",0603,C389518
SCD41-D-R1,U8,SCD4x 10.1x10.1 mm,C3659362
SGP41-D-R4,U9,DFN-6 2.4x2.4 mm,C3659325
BMP388,U10,LGA-10 2x2 mm,C779278
AP2112K-3.3TRG1,U11,SOT-23-5,C23380830
0805B104K500CT,"C22,C26,C27",0805,C83055
TCC0805X7R475K100FTM,C23,0805,C51912533
CL21B105KBFNNNE,"C24,C25",0805,C28323
GRM21BR71A106KE51L,C28,0805,C86038
C2012X5R1A226MT0J0E,C29,0805,C361180
RC0603FR-0710RL,R26,0603,C109318
EEEHB1A221AP,C30,SMD D8x10.2 mm,C401791
2N7002,"Q1,Q2",SOT-23,C8545
0603WAF1003T5E,"R27,R29",0603,C25803
0603WAF1000T5E,R28,0603,C22775
1N4148WS,D5,SOD-323,C2128
HFD4/5,K1,DIP 10x6.5 mm,C23510
MX126-5.0-03P-GN01-Cu-S-A,J9,THT P5.00mm 1x03,C5188435
0603WAF1001T5E,"R13,R16,R17,R22,R25",0603,C21190
