Designator,Mid X,Mid Y,Rotation,Layer
J1,16.000000,-66.000000,90.000000,Top
J2,135.000000,-48.000000,90.000000,Top
RTH1,27.000000,-46.000000,0.000000,Top
F1,29.000000,-66.000000,0.000000,Top
D1,38.000000,-66.000000,0.000000,Top
TVS1,38.000000,-73.000000,90.000000,Top
U1,49.000000,-65.000000,0.000000,Top
L1,61.000000,-65.000000,0.000000,Top
R1,55.000000,-73.000000,0.000000,Top
R3,50.000000,-57.000000,90.000000,Top
R2,55.000000,-76.000000,0.000000,Top
C1,41.000000,-56.000000,0.000000,Top
C2,45.000000,-53.000000,0.000000,Top
C3,47.000000,-72.000000,0.000000,Top
C4,54.000000,-58.000000,0.000000,Top
C10,78.000000,-20.000000,90.000000,Top
C11,81.000000,-50.000000,0.000000,Top
C12,94.000000,-42.000000,0.000000,Top
C13,102.000000,-46.000000,90.000000,Top
C5,71.000000,-59.000000,0.000000,Top
C6,71.000000,-64.000000,0.000000,Top
D2,74.000000,-54.000000,0.000000,Top
D3,61.000000,-75.000000,0.000000,Top
U2,80.000000,-64.000000,0.000000,Top
C7,77.000000,-59.000000,0.000000,Top
C16,96.000000,-52.500000,0.000000,Top
C18,113.000000,-57.000000,0.000000,Top
C8,84.000000,-59.000000,0.000000,Top
U3,55.000000,-22.750000,0.000000,Top
J3,103.000000,-107.200000,0.000000,Top
ESD1,75.000000,-68.000000,0.000000,Top
R4,68.000000,-67.000000,90.000000,Top
R5,70.500000,-67.000000,90.000000,Top
R6,65.000000,-43.000000,0.000000,Top
C9,65.000000,-46.000000,0.000000,Top
SW1,70.000000,-43.000000,0.000000,Top
SW2,77.000000,-43.000000,0.000000,Top
U4,74.000000,-20.000000,0.000000,Top
R7,69.000000,-18.000000,0.000000,Top
R8,69.000000,-21.000000,0.000000,Top
U5,83.000000,-46.000000,0.000000,Top
U6,92.000000,-46.000000,0.000000,Top
R9,96.000000,-50.000000,0.000000,Top
R10,91.000000,-52.000000,0.000000,Top
R11,99.000000,-46.000000,0.000000,Top
U7,105.000000,-60.000000,0.000000,Top
C14,96.000000,-55.500000,0.000000,Top
C17,113.000000,-54.000000,0.000000,Top
R12,116.000000,-63.000000,90.000000,Top
J4,119.000000,-106.500000,0.000000,Top
LED1,82.000000,-40.000000,0.000000,Top
R13,78.000000,-40.000000,0.000000,Top
SW3,122.000000,-63.000000,90.000000,Top
J5,84.000000,-15.000000,0.000000,Top
J6,104.000000,-15.000000,0.000000,Top
J7,126.000000,-15.000000,0.000000,Top
J8,135.000000,-75.000000,90.000000,Top
R14,87.000000,-25.000000,0.000000,Top
R15,92.000000,-25.000000,0.000000,Top
TVS2,97.000000,-25.000000,0.000000,Top
TVS3,108.000000,-25.000000,0.000000,Top
TVS4,128.000000,-25.000000,0.000000,Top
R16,112.000000,-25.000000,0.000000,Top
R17,124.000000,-25.000000,0.000000,Top
R22,120.000000,-72.000000,0.000000,Top
R25,100.000000,-40.000000,0.000000,Top
R18,109.000000,-28.000000,0.000000,Top
R19,127.000000,-28.000000,0.000000,Top
R21,124.000000,-75.000000,0.000000,Top
R23,111.000000,-96.000000,0.000000,Top
C19,112.000000,-31.000000,0.000000,Top
C20,124.000000,-31.000000,0.000000,Top
C21,120.000000,-75.000000,0.000000,Top
TVS5,127.000000,-75.000000,90.000000,Top
R20,124.000000,-72.000000,0.000000,Top
D4,116.000000,-74.000000,0.000000,Top
SW4,116.000000,-96.000000,0.000000,Top
R24,91.000000,-40.000000,0.000000,Top
LED2,95.000000,-40.000000,0.000000,Top
LED3,104.000000,-40.000000,0.000000,Top
J9,25.000000,-98.000000,0.000000,Top
J10,53.000000,-98.000000,0.000000,Top
J11,81.000000,-98.000000,0.000000,Top
C30,128.000000,-94.000000,0.000000,Top
